Vivado Simulator 2019.2
Time resolution is 1 ps
a: 13   b:  2  product:  26
a: 13   b:  3  product:  39
a: 13   b:  4  product:  52
a: 13   b:  5  product:  65
a: 13   b:  6  product:  78
a: 13   b:  7  product:  91
a: 13   b:  8  product: 104
a: 13   b:  9  product: 117
a: 13   b: 10  product: 130
a: 13   b: 11  product: 143
a: 13   b: 12  product: 156
a: 13   b: 13  product: 169
a: 13   b: 14  product: 182
a: 14   b: 15  product: 210
a: 14   b:  0  product:   0
a: 14   b:  1  product:  14
a: 14   b:  2  product:  28
a: 14   b:  3  product:  42
a: 14   b:  4  product:  56
a: 14   b:  5  product:  70
a: 14   b:  6  product:  84
a: 14   b:  7  product:  98
a: 14   b:  8  product: 112
a: 14   b:  9  product: 126
a: 14   b: 10  product: 140
a: 14   b: 11  product: 154
a: 14   b: 12  product: 168
a: 14   b: 13  product: 182
a: 14   b: 14  product: 196
a: 15   b: 15  product: 225
a: 15   b:  0  product:   0
a: 15   b:  1  product:  15
a: 15   b:  2  product:  30
a: 15   b:  3  product:  45
a: 15   b:  4  product:  60
a: 15   b:  5  product:  75
a: 15   b:  6  product:  90
a: 15   b:  7  product: 105
a: 15   b:  8  product: 120
a: 15   b:  9  product: 135
a: 15   b: 10  product: 150
a: 15   b: 11  product: 165
a: 15   b: 12  product: 180
a: 15   b: 13  product: 195
a: 15   b: 14  product: 210
